# null, year, acm, acn, star, stard, pl, px, rb, part, debasat, debcoll, deb, null, null
# Bin     YDate                 ACM          ACN          Star         StarD        PL           PX           RB           Part         DebASAT      DebColl      Deb          Err          Total
227  1957.61944     0    0    0    0    0    0    0    0    0    0    0    0    0
228  1957.62218     0    0    0    0    0    0    0    0    0    0    0    0    0
229  1957.62491     0    0    0    0    0    0    0    0    0    0    0    0    0
230  1957.62765     0    0    0    0    0    0    0    0    0    0    0    0    0
231  1957.63039     0    0    0    0    0    0    0    0    0    0    0    0    0
232  1957.63313     0    0    0    0    0    0    0    0    0    0    0    0    0
233  1957.63587     0    0    0    0    0    0    0    0    0    0    0    0    0
234  1957.6386 0    0    0    0    0    0    0    0    0    0    0    0    0
235  1957.64134     0    0    0    0    0    0    0    0    0    0    0    0    0
236  1957.64408     0    0    0    0    0    0    0    0    0    0    0    0    0
237  1957.64682     0    0    0    0    0    0    0    0    0    0    0    0    0
238  1957.64956     0    0    0    0    0    0    0    0    0    0    0    0    0
239  1957.65229     0    0    0    0    0    0    0    0    0    0    0    0    0
240  1957.65503     0    0    0    0    0    0    0    0    0    0    0    0    0
241  1957.65777     0    0    0    0    0    0    0    0    0    0    0    0    0
242  1957.66051     0    0    0    0    0    0    0    0    0    0    0    0    0
243  1957.66324     0    0    0    0    0    0    0    0    0    0    0    0    0
244  1957.66598     0    0    0    0    0    0    0    0    0    0    0    0    0
245  1957.66872     0    0    0    0    0    0    0    0    0    0    0    0    0
246  1957.67146     0    0    0    0    0    0    0    0    0    0    0    0    0
247  1957.6742 0    0    0    0    0    0    0    0    0    0    0    0    0
248  1957.67693     0    0    0    0    0    0    0    0    0    0    0    0    0
249  1957.67967     0    0    0    0    0    0    0    0    0    0    0    0    0
250  1957.68241     0    0    0    0    0    0    0    0    0    0    0    0    0
251  1957.68515     0    0    0    0    0    0    0    0    0    0    0    0    0
252  1957.68789     0    0    0    0    0    0    0    0    0    0    0    0    0
253  1957.69062     0    0    0    0    0    0    0    0    0    0    0    0    0
254  1957.69336     0    0    0    0    0    0    0    0    0    0    0    0    0
255  1957.6961 0    0    0    0    0    0    0    0    0    0    0    0    0
256  1957.69884     0    0    0    0    0    0    0    0    0    0    0    0    0
257  1957.70157     0    0    0    0    0    0    0    0    0    0    0    0    0
258  1957.70431     0    0    0    0    0    0    0    0    0    0    0    0    0
259  1957.70705     0    0    0    0    0    0    0    0    0    0    0    0    0
260  1957.70979     0    0    0    0    0    0    0    0    0    0    0    0    0
261  1957.71253     0    0    0    0    0    0    0    0    0    0    0    0    0
262  1957.71526     0    0    0    0    0    0    0    0    0    0    0    0    0
263  1957.718  0    0    0    0    0    0    0    0    0    0    0    0    0
264  1957.72074     0    0    0    0    0    0    0    0    0    0    0    0    0
265  1957.72348     0    0    0    0    0    0    0    0    0    0    0    0    0
266  1957.72621     0    0    0    0    0    0    0    0    0    0    0    0    0
267  1957.72895     0    0    0    0    0    0    0    0    0    0    0    0    0
268  1957.73169     0    0    0    0    0    0    0    0    0    0    0    0    0
269  1957.73443     0    0    0    0    0    0    0    0    0    0    0    0    0
270  1957.73717     0    0    0    0    0    0    0    0    0    0    0    0    0
271  1957.7399 0    0    0    0    0    0    0    0    0    0    0    0    0
272  1957.74264     0    0    0    0    0    0    0    0    0    0    0    0    0
273  1957.74538     0    0    0    0    0    0    0    0    0    0    0    0    0
274  1957.74812     0    0    0    0    0    0    0    0    0    0    0    0    0
